,index,age,gender_code,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,gender
2010,2016,41,1,1,1625,765,6,1571,1,1158,1272,1167,1,17,68.02,104,672.14,1588,1976,1746,1746,613,1,0
4875,4884,63,0,1,1368,744,7,1423,1631,1158,402,1176,1,9,309.37,104,523.63,1912,1524,1746,1746,603,1,1
43,43,17,1,1,1368,390,3,1423,1631,1182,1307,1167,1,6,348.07,23,824.95,1912,1976,1746,1746,155,0,0
685,685,57,1,1,1625,420,3,1571,1,1160,1272,1167,1,6,802.66,315,758.59,1588,1976,1746,1746,155,0,0
3155,3163,34,0,1,507,744,7,1423,1631,1182,1307,1176,1,21,62.16,116,590.4,1912,1524,1754,418,588,1,1
608,608,16,0,1,507,744,5,1571,1,1160,1307,1157,1,11,75.54,122,655.74,1912,1524,1746,1746,613,1,1
5155,5166,51,1,1,1625,744,3,1571,2,1158,1272,1157,1,4,410.56,123,281.85857599999997,1912,1524,1754,458,603,1,0
4864,4873,34,1,1,1368,525,3,1571,1,1160,1272,1157,1,22,113.2,132,759.28,1588,1976,1754,438,554,0,0
1135,1137,22,1,1,1368,744,7,1571,1,1182,1307,1157,1,-999,30.08,137,643.15,1912,1524,1754,418,588,1,0
265,265,27,0,1,507,765,6,1571,1,1160,1307,1176,1,15,304.09,131,549.41,1588,1976,1754,440,554,1,1
4346,4355,21,1,1,1368,765,5,506,1,1158,1307,1157,1,6,394.16,94,504.74,1588,1976,1754,440,613,1,0
5186,5198,58,0,1,1625,744,2,1423,1631,1160,519,1167,1,18,476.93,126,634.44,1912,1976,1746,1746,613,1,1
2825,2832,20,0,1,507,656,5,1423,1631,1182,1307,1176,1,16,186.63,116,1122.881306,1588,1976,1754,458,588,1,1
946,947,28,1,1,1368,765,3,1423,1631,1160,1307,1176,1,13,30.39,115,627.13,1912,1524,1754,438,588,1,0
3981,3990,62,1,1,1368,656,3,1423,1631,1182,1307,1167,1,17,167.83,126,776.47,1912,1976,1754,458,125,0,0
2654,2661,22,1,1,1625,765,5,1423,1631,1182,1272,1176,1,13,30.41,126,169.4097625,1588,1976,1754,440,613,1,0
1881,1885,58,0,1,1625,525,5,506,1,1158,519,1167,1,10,240.07,107,673.59,1912,1524,1746,1746,588,1,1
5648,5660,48,1,1,1368,656,4,1423,1631,1160,1307,1157,1,5,360.82,104,755.6,1912,1524,1754,440,590,0,0
3932,3941,13,0,1,1625,525,5,506,1,1182,402,1176,1,7,306.07,94,611.01,1912,1524,1746,1746,603,1,1
1618,1620,22,1,1,507,656,4,506,1,1160,1307,1176,1,9,104.8,119,736.7,1912,1524,1754,440,588,0,0
5721,5733,49,1,1,1625,525,3,1571,1,1182,402,1167,1,9,529.31,89,1030.4380230000002,1588,1976,1754,438,603,0,0
6384,6398,54,0,1,1368,765,2,1423,1631,1158,519,1176,1,10,237.39,89,559.69,1588,1976,1746,1746,588,1,1
4363,4372,26,1,1,1625,744,3,1571,1,1182,1307,1157,1,6,837.5,315,659.58,1912,1524,1754,458,613,1,0
3818,3827,16,1,1,1625,390,1,506,2,1158,402,1176,1,15,266.82,134,753.41,1912,1524,1754,440,613,0,0
847,847,57,0,1,1625,744,5,1423,1631,1182,1307,1157,1,5,290.5,1,671.01,1588,1976,1754,458,590,1,1
998,999,58,0,1,1625,765,6,506,1,1182,1307,1176,1,19,34.87,315,916.4119444,1588,1976,1746,1746,590,1,1
1181,1183,14,1,1,507,656,4,1423,1631,1158,1307,1167,1,11,-345.2213849,115,702.43,1912,1524,1746,1746,590,0,0
1387,1389,59,0,1,1625,744,3,1423,1631,1160,1272,1176,1,15,-1076.789334,126,635.14,1588,1976,1746,1746,588,1,1
2349,2356,49,1,1,1625,656,3,1571,1631,1160,1272,1167,1,13,100.64,116,956.7933270999999,1912,1524,1746,1746,613,1,0
4684,4693,15,1,1,1368,744,4,1571,1,1158,1307,1176,1,2,48.91,137,1069.941719,1588,1976,1754,438,588,1,0
2192,2198,23,1,1,507,744,3,1423,1631,1182,1307,1167,1,23,109.24,116,533.97,1912,1524,1746,1746,554,1,0
99,99,59,1,1,507,656,4,1571,1,1158,402,1176,1,8,899.04,116,758.69,1912,1524,1746,1746,590,0,0
3798,3807,32,1,1,1368,390,7,1423,1631,1158,402,1176,1,16,269.12,116,776.35,1912,1524,1754,438,590,0,0
5151,5162,31,0,1,507,656,4,1423,1631,1182,1272,1167,1,14,59.4,107,651.06,1912,1524,1754,438,554,1,1
5324,5336,43,1,1,1625,656,5,506,2,1182,519,1167,1,9,959.03,315,806.39,1912,1976,1754,440,125,0,0
3916,3925,15,1,1,1368,744,3,1571,1,1160,402,1157,2,10,303.36,94,610.41,1912,1524,1746,1746,590,0,0
1072,1073,57,1,1,1625,656,3,1423,1631,1158,1307,1167,1,6,287.95,93,628.14,1912,1976,1746,1746,588,1,0
3567,3576,20,1,1,1368,765,4,1571,1,1160,519,1167,1,13,52.68,94,702.26,1588,1976,1746,1746,588,1,0
1183,1185,54,0,1,1625,420,6,1423,1631,1160,1272,1167,1,6,287.91,132,1046.032525,1912,1976,1746,1746,590,0,1
2742,2749,19,1,1,1368,390,3,1571,1631,1160,1272,1176,1,8,84.29,126,718.18,1588,1976,1754,418,590,0,0
1999,2004,21,0,1,1625,656,4,1423,1631,1182,1272,1167,1,21,390.17,122,667.61,1588,1976,1746,1746,588,1,1
3649,3658,53,1,1,1368,390,6,1571,1,1182,402,1157,1,16,549.75,89,725.83,1588,1976,1746,1746,588,0,0
797,797,25,1,1,1625,656,1,1571,1,1158,1307,1176,1,14,1420.194045,122,809.16,1912,1524,1746,1746,133,0,0
4794,4803,25,1,1,1368,765,6,1571,1,1182,1307,1167,1,21,150.21,117,629.21,1588,1976,1754,458,613,1,0
961,962,49,0,1,1368,656,4,1571,1,1182,1307,1167,1,13,812.54,119,714.76,1912,1976,1746,1746,603,1,1
4639,4648,55,0,1,1625,525,2,1571,1,1160,1307,1176,2,4,87.62,127,797.49,1912,1524,1746,1746,603,0,1
1915,1919,29,0,1,1368,765,5,1423,1631,1158,519,1167,1,18,66.68,144,516.3,1588,1976,1754,440,613,1,1
3253,3261,12,0,1,1625,420,4,1571,1,1160,402,1176,1,19,748.35,144,778.8,1912,1524,1754,458,139,0,1
